t,n_workers,total_mb,event
33273,8,14574.9,
33303,8,14925.4,
33333,8,14613.4,
33363,8,15177.1,
33393,8,15224.8,
33423,8,14660.2,
33453,8,14959.0,
33483,8,14773.8,
33513,8,14938.8,
33544,8,15486.1,
33574,8,14931.0,
33604,8,15303.2,
33634,8,15274.5,
33664,8,15272.2,recycle
33694,0,0.0,
33724,0,0.0,
33754,8,1933.9,
33784,8,4971.4,
33814,8,8807.0,
33844,8,9385.2,
33874,8,9766.6,
33904,8,10173.8,
33934,8,10467.1,
33964,8,10750.5,
33994,8,11226.5,
34024,8,11811.6,
34055,8,11486.4,
34085,8,11770.0,
34115,8,12178.4,
34145,8,12106.9,
34175,8,12151.4,
34205,8,12371.1,
34235,8,12659.1,
34265,8,12481.2,
34295,8,12705.9,
34325,8,12934.8,
34355,8,12784.2,
34385,0,0.0,
34415,0,0.0,
34445,8,1759.5,
34475,8,2308.5,
34505,8,5490.9,
34535,8,7403.1,
34565,8,8226.2,
34595,8,9610.1,
34626,8,10166.7,
34656,8,10842.3,
34686,8,10616.9,
34716,8,10990.2,
34746,8,11160.3,
34776,8,11902.6,
34806,8,12111.7,
34836,8,12393.5,
34866,8,12318.1,
34896,8,12600.5,
34926,8,12502.5,
34956,8,12542.5,
34986,8,13076.6,
35016,8,12975.9,
35046,8,12884.3,
35076,8,12950.9,
35106,8,13046.3,
35137,8,13321.2,
35167,8,13337.3,
35197,8,13292.8,
35227,8,13814.2,
35257,8,13549.0,
35287,8,13839.7,
35317,8,13787.2,
35347,8,14322.9,
35377,8,14308.8,
35407,8,14295.9,
35437,8,14287.8,
35467,8,14437.0,
35497,8,14359.9,
35527,8,14276.0,
35557,8,14107.7,
35587,8,14168.9,
35617,8,14534.4,
35647,8,14653.6,
35678,8,14581.6,
35708,8,14429.2,
35738,8,14303.7,
35768,8,14763.9,
35798,8,14201.7,
35828,8,14485.5,
35858,8,14553.5,
35888,8,14389.8,
35918,8,14421.0,
35948,8,14249.8,
35978,8,14836.7,
36008,8,14954.1,
36038,8,14451.3,
36068,8,14960.9,recycle
36098,0,0.0,
36128,0,0.0,
36158,8,1934.7,
36188,8,5772.7,
36218,8,7693.2,
36249,8,9047.3,
36279,8,9580.8,
36309,8,10010.0,
36339,8,10391.1,
36369,8,10909.2,
36399,8,11306.6,
36429,8,11277.8,
36459,8,11462.0,
36489,8,12284.2,
36519,8,12380.2,
36549,8,12181.5,
36579,8,12329.9,
36609,8,12189.6,
36639,8,12756.7,
36669,8,12900.4,
36699,8,13069.2,
36729,8,12548.9,
36759,8,13174.2,
36790,8,13496.5,
36820,8,13461.3,
36850,8,12944.0,
36880,8,13111.5,
